DB No.,n_d[i] 
0058632,17.8701
0058633,19.0733
0058634,21.0783
0058635,24.109
0058636,28.2401
0058637,33.2692
0058638,38.6443
0058639,43.5173
0058640,46.9447
0058641,48.1817
0058642,46.9447
0058643,43.5173
0058644,38.6443
0058645,33.2692
0058646,28.2401
0058647,24.109
0058648,21.0783
0058649,19.0733
0058650,17.8701
0058651,17.2124
0058652,16.884
0058653,16.734
0058654,16.6711
0058655,16.647
0058656,16.6385
0058657,16.6357
0058658,16.6349
0058659,16.6346
0058660,16.6346
0058661,16.6346
0058662,16.6346
0058663,22.0097
0058664,22.0097
0058665,22.0097
0058666,22.0097
0058667,22.0097
0058668,22.0097
0058669,22.0097
0058670,22.0097
0058671,22.0097
0058672,22.0097
0058673,22.0097
0058674,22.0097
0058675,22.0097
0058676,22.0097
0058677,22.0097
0058678,22.0097
0058679,22.0097
0058680,22.0097
0058681,22.0097
0058682,22.0097
0058683,22.0097
0058684,22.0097
0058685,22.0097
0058686,22.0097
0058687,22.0097
0058688,22.0097
0058689,22.0097
0058690,22.0097
0058691,22.0097
0058692,22.0097
0058693,22.0097
0058694,22.0097
0058695,22.0098
0058696,22.01
0058697,22.0108
0058698,22.0136
0058699,22.0221
0058700,22.0463
0058701,22.1091
0058702,22.2591
0058703,22.5875
0058704,23.2452
0058705,24.4484
0058706,26.4534
0058707,29.4841
0058708,33.6153
0058709,38.6443
0058710,44.0194
0058711,48.8924
0058712,52.3199
0058713,53.5569
0058714,52.3199
0058715,48.8924
0058716,44.0194
0058717,38.6443
0058718,33.6153
0058719,29.4841
0058720,26.4534
0058721,24.4484
0058722,23.2452
0058723,22.5875
0058724,22.2591
0058725,22.1091
0058726,22.0463
0058727,22.0221
0058728,22.0136
0058729,22.0108
0058730,22.01
0058731,22.0098
0058732,22.0097
0058733,22.0097
0058734,22.0097
0058735,26.8827
0058736,26.8827
0058737,26.8827
0058738,26.8827
0058739,26.8827
0058740,26.8827
0058741,26.8827
0058742,26.8827
0058743,26.8827
0058744,26.8827
0058745,26.8827
0058746,26.8827
0058747,26.8827
0058748,26.8827
0058749,26.8827
0058750,26.8827
0058751,26.8827
0058752,26.8827
0058753,26.8827
0058754,26.8827
0058755,26.8827
0058756,26.8827
0058757,26.8827
0058758,26.8827
0058759,26.8827
0058760,26.8827
0058761,26.8827
0058762,26.8827
0058763,26.8827
0058764,26.8827
0058765,26.8827
0058766,26.8827
0058767,26.8828
0058768,26.883
0058769,26.8838
0058770,26.8866
0058771,26.8951
0058772,26.9193
0058773,26.9821
0058774,27.1322
0058775,27.4605
0058776,28.1182
0058777,29.3215
0058778,31.3264
0058779,34.3571
0058780,38.4883
0058781,43.5173
0058782,48.8924
0058783,53.7654
0058784,57.1929
0058785,58.4299
0058786,57.1929
0058787,53.7654
0058788,48.8924
0058789,43.5173
0058790,38.4883
0058791,34.3571
0058792,31.3264
0058793,29.3215
0058794,28.1182
0058795,27.4605
0058796,27.1322
0058797,26.9821
0058798,26.9193
0058799,26.8951
0058800,26.8866
0058801,26.8838
0058802,26.883
0058803,26.8828
0058804,26.8827
0058805,26.8827
0058806,26.8827
0058807,0.577806
0058808,0.577806
0058809,0.577806
0058810,0.577806
0058811,0.577806
0058812,0.577806
0058813,0.577806
0058814,0.577806
0058815,0.577806
0058816,0.577806
0058817,0.577806
0058818,0.577806
0058819,0.577806
0058820,0.577806
0058821,0.577806
0058822,0.577806
0058823,0.577806
0058824,0.577806
0058825,0.577806
0058826,0.577806
0058827,0.577806
0058828,0.577806
0058829,0.577806
0058830,0.577806
0058831,0.577806
0058832,0.577806
0058833,0.577806
0058834,0.577806
0058835,0.577806
0058836,0.577807
0058837,0.57781
0058838,0.577823
0058839,0.57788
0058840,0.578107
0058841,0.578933
0058842,0.5817
0058843,0.590225
0058844,0.614377
0058845,0.677215
0058846,0.827251
0058847,1.15561
0058848,1.81332
0058849,3.01655
0058850,5.02149
0058851,8.0522
0058852,12.1834
0058853,17.2124
0058854,22.5875
0058855,27.4605
0058856,30.888
0058857,32.125
0058858,30.888
0058859,27.4605
0058860,22.5875
0058861,17.2124
0058862,12.1834
0058863,8.0522
0058864,5.02149
0058865,3.01655
0058866,1.81332
0058867,1.15561
0058868,0.827251
0058869,0.677215
0058870,0.614377
0058871,0.590225
0058872,0.5817
0058873,0.578933
0058874,0.578107
0058875,0.57788
0058876,0.577823
0058877,0.57781
0058878,0.577807
0058879,1.23551
0058880,1.23551
0058881,1.23551
0058882,1.23551
0058883,1.23551
0058884,1.23551
0058885,1.23551
0058886,1.23551
0058887,1.23551
0058888,1.23551
0058889,1.23551
0058890,1.23551
0058891,1.23551
0058892,1.23551
0058893,1.23551
0058894,1.23551
0058895,1.23551
0058896,1.23551
0058897,1.23551
0058898,1.23551
0058899,1.23551
0058900,1.23551
0058901,1.23551
0058902,1.23551
0058903,1.23551
0058904,1.23551
0058905,1.23551
0058906,1.23551
0058907,1.23551
0058908,1.23551
0058909,1.23551
0058910,1.23553
0058911,1.23558
0058912,1.23581
0058913,1.23664
0058914,1.2394
0058915,1.24793
0058916,1.27208
0058917,1.33492
0058918,1.48495
0058919,1.81332
0058920,2.47102
0058921,3.67425
0058922,5.67919
0058923,8.70991
0058924,12.8411
0058925,17.8701
0058926,23.2452
0058927,28.1182
0058928,31.5457
0058929,32.7827
0058930,31.5457
0058931,28.1182
0058932,23.2452
0058933,17.8701
0058934,12.8411
0058935,8.70991
0058936,5.67919
0058937,3.67425
0058938,2.47102
0058939,1.81332
0058940,1.48495
0058941,1.33492
0058942,1.27208
0058943,1.24793
0058944,1.2394
0058945,1.23664
0058946,1.23581
0058947,1.23558
0058948,1.23553
0058949,1.23551
0058950,1.23551
0058951,2.43874
0058952,2.43874
0058953,2.43874
0058954,2.43874
0058955,2.43874
0058956,2.43874
0058957,2.43874
0058958,2.43874
0058959,2.43874
0058960,2.43874
0058961,2.43874
0058962,2.43874
0058963,2.43874
0058964,2.43874
0058965,2.43874
0058966,2.43874
0058967,2.43874
0058968,2.43874
0058969,2.43874
0058970,2.43874
0058971,2.43874
0058972,2.43874
0058973,2.43874
0058974,2.43874
0058975,2.43874
0058976,2.43874
0058977,2.43874
0058978,2.43874
0058979,2.43874
0058980,2.43875
0058981,2.43875
0058982,2.43876
0058983,2.43882
0058984,2.43905
0058985,2.43987
0058986,2.44264
0058987,2.45116
0058988,2.47531
0058989,2.53815
0058990,2.68819
0058991,3.01655
0058992,3.67425
0058993,4.87749
0058994,6.88243
0058995,9.91314
0058996,14.0443
0058997,19.0733
0058998,24.4484
0058999,29.3215
0059000,32.7489
0059001,33.9859
0059002,32.7489
0059003,29.3215
0059004,24.4484
0059005,19.0733
0059006,14.0443
0059007,9.91314
0059008,6.88243
0059009,4.87749
0059010,3.67425
0059011,3.01655
0059012,2.68819
0059013,2.53815
0059014,2.47531
0059015,2.45116
0059016,2.44264
0059017,2.43987
0059018,2.43905
0059019,2.43882
0059020,2.43876
0059021,2.43875
0059022,2.43875
0059023,4.44368
0059024,4.44368
0059025,4.44368
0059026,4.44368
0059027,4.44368
0059028,4.44368
0059029,4.44368
0059030,4.44368
0059031,4.44368
0059032,4.44368
0059033,4.44368
0059034,4.44368
0059035,4.44368
0059036,4.44368
0059037,4.44368
0059038,4.44368
0059039,4.44368
0059040,4.44368
0059041,4.44368
0059042,4.44368
0059043,4.44368
0059044,4.44368
0059045,4.44368
0059046,4.44368
0059047,4.44368
0059048,4.44368
0059049,4.44368
0059050,4.44368
0059051,4.44368
0059052,4.44368
0059053,4.44369
0059054,4.4437
0059055,4.44376
0059056,4.44398
0059057,4.44481
0059058,4.44758
0059059,4.4561
0059060,4.48025
0059061,4.54309
0059062,4.69313
0059063,5.02149
0059064,5.67919
0059065,6.88243
0059066,8.88736
