query,x[m],y[m],z[m],th[deg],ph[deg],query_pix,dilated_pix,lapse time[ms]
0,\workspa,e\UMap\S,N\gazebo,am\que,\query,0,0,729
DB No.,x[m],y[m],z[m],th[deg],ph[deg],A,B,Bcon,C,D,E,Econ,F,sim_index,SPV_and,SPV_in, SPV_db 
0057599,-004.600,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2526,18226,10360,40688,0,0,0,0
0057600,-004.400,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2590,20031,11142,38819,0,0,0,0
0057601,-004.200,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2872,20893,11766,37675,0,0,0,0
0057602,-004.000,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2681,17203,9935,41556,0,0,0,0
0057603,-003.800,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2477,16890,9752,42073,0,0,0,0
0057604,-003.600,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2727,18361,10449,40352,0,0,0,0
0057605,-003.400,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2710,19961,11127,38769,0,0,0,0
0057606,-003.200,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2708,16822,9761,41910,0,0,0,0
0057607,-003.000,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2757,16649,9719,42034,0,0,0,0
0057608,-002.800,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2406,17417,10115,41617,0,0,0,0
0057609,-002.600,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2453,18337,10340,40650,0,0,0,0
0057610,-002.400,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2567,19736,11248,39137,0,0,0,0
0057611,-002.200,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2391,17449,10143,41600,0,0,0,0
0057612,-002.000,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2358,20898,11672,38184,0,0,0,0
0057613,-001.800,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2383,25235,13653,33822,0,0,0,0
0057614,-001.600,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2416,19297,10729,39727,0,0,0,0
0057615,-001.400,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2360,18586,10549,40494,0,0,0,0
0057616,-001.200,-001.800,0000.200,0000.0,0000.0,0,0,0,0,3246,20800,12062,37394,0,0,0,0
0057617,-001.000,-001.800,0000.200,0000.0,0000.0,0,0,0,0,3111,20232,12405,38097,0,0,0,0
0057618,-000.800,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2896,19708,12080,38836,0,0,0,0
0057619,-000.600,-001.800,0000.200,0000.0,0000.0,0,0,0,0,3004,25274,14554,33162,0,0,0,0
0057620,-000.400,-001.800,0000.200,0000.0,0000.0,0,0,0,0,3653,31645,17899,26142,0,0,0,0
0057621,-000.200,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2959,24670,14457,33811,0,0,0,0
0057622,-000.000,-001.800,0000.200,0000.0,0000.0,0,0,0,0,3119,27992,16138,30329,0,0,0,0
0057623,0000.200,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2785,27921,15660,30734,0,0,0,0
0057624,0000.400,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2072,19003,10812,40365,0,0,0,0
0057625,0000.600,-001.800,0000.200,0000.0,0000.0,0,0,0,0,1698,15560,8974,44182,0,0,0,0
0057626,0000.800,-001.800,0000.200,0000.0,0000.0,0,0,0,0,1736,15041,8650,44663,0,0,0,0
0057627,0001.000,-001.800,0000.200,0000.0,0000.0,0,0,0,0,1666,16398,9119,43376,0,0,0,0
0057628,0001.200,-001.800,0000.200,0000.0,0000.0,0,0,0,0,1778,16645,9269,43017,0,0,0,0
0057629,0001.400,-001.800,0000.200,0000.0,0000.0,0,0,0,0,1287,12033,6803,48120,0,0,0,0
0057630,0001.600,-001.800,0000.200,0000.0,0000.0,0,0,0,0,1200,11307,6381,48933,0,0,0,0
0057631,0001.800,-001.800,0000.200,0000.0,0000.0,0,0,0,0,1113,12627,7064,47700,0,0,0,0
0057632,0002.000,-001.800,0000.200,0000.0,0000.0,0,0,0,0,1653,15991,8742,43796,0,0,0,0
0057633,-010.000,-001.600,0000.200,0000.0,0000.0,0,0,0,0,5501,30489,18926,25450,0,0,0,0
0057634,-009.800,-001.600,0000.200,0000.0,0000.0,0,0,0,0,5169,31026,19470,25245,0,0,0,0
0057635,-009.600,-001.600,0000.200,0000.0,0000.0,0,0,0,0,4531,29173,17851,27736,0,0,0,0
0057636,-009.400,-001.600,0000.200,0000.0,0000.0,0,0,0,0,4418,26236,15826,30786,0,0,0,0
0057637,-009.200,-001.600,0000.200,0000.0,0000.0,0,0,0,0,4465,26116,15642,30859,0,0,0,0
0057638,-009.000,-001.600,0000.200,0000.0,0000.0,0,0,0,0,5126,30191,18374,26123,0,0,0,0
0057639,-008.800,-001.600,0000.200,0000.0,0000.0,0,0,0,0,5064,29898,18151,26478,0,0,0,0
0057640,-008.600,-001.600,0000.200,0000.0,0000.0,0,0,0,0,4882,27704,16649,28854,0,0,0,0
0057641,-008.400,-001.600,0000.200,0000.0,0000.0,0,0,0,0,4933,28503,17204,28004,0,0,0,0
0057642,-008.200,-001.600,0000.200,0000.0,0000.0,0,0,0,0,4588,26607,15952,30245,0,0,0,0
0057643,-008.000,-001.600,0000.200,0000.0,0000.0,0,0,0,0,4925,29756,17888,26759,0,0,0,0
0057644,-007.800,-001.600,0000.200,0000.0,0000.0,0,0,0,0,4719,32100,18991,24621,0,0,0,0
0057645,-007.600,-001.600,0000.200,0000.0,0000.0,0,0,0,0,4018,29293,17131,28129,0,0,0,0
0057646,-007.400,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3731,28381,16404,29328,0,0,0,0
0057647,-007.200,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3524,25334,14844,32582,0,0,0,0
