DB No.,n_d[i],d_u,d_u_d_v 
0057812,0.32758,0.472468,0.108893
0057813,0.32758,0.479245,0.126192
0057814,0.32758,0.492672,0.135734
0057815,0.32758,0.445755,0.120186
0057816,0.284717,0.452554,0.126855
0057817,0.284717,0.433299,0.11955
0057818,0.284717,0.426257,0.148993
0057819,0.284717,0.433431,0.120478
0057820,0.284717,0.440335,0.133505
0057821,0.284717,0.440967,0.121149
0057822,0.284717,0.460086,0.116173
0057823,0.284717,0.476632,0.152482
0057824,0.284717,0.492711,0.168648
0057825,0.284717,0.46611,0.122125
0057826,0.284717,0.456062,0.120652
0057827,0.284717,0.456249,0.137316
0057828,0.284717,0.474702,0.13811
0057829,0.284717,0.487396,0.182002
0057830,0.284717,0.466914,0.102079
0057831,0.284717,0.451897,0.09562
0057832,0.284717,0.457532,0.0965594
0057833,0.284717,0.480262,0.117796
0057834,0.284717,0.46901,0.168777
0057835,0.284717,0.472872,0.113189
0057836,0.284717,0.462028,0.124461
0057837,0.284717,0.472007,0.153253
0057838,0.284717,0.460871,0.130304
0057839,0.284717,0.452256,0.128422
0057840,0.284717,0.460869,0.156072
0057841,0.284717,0.461227,0.152429
0057842,0.284717,0.448849,0.185231
0057843,0.284717,0.470044,0.119873
0057844,0.284717,0.433783,0.118601
0057845,0.284717,0.4329,0.141293
0057846,0.284717,0.424732,0.164233
0057847,0.284717,0.426521,0.127826
0057848,0.284717,0.424282,0.102696
0057849,0.284717,0.439335,0.0972608
0057850,0.284717,0.434384,0.0954007
0057851,0.284717,0.425696,0.109557
0057852,0.284717,0.420257,0.147031
0057853,0.284753,0.431172,0.114118
0057854,0.315274,0.453038,0.0899912
0057855,0.756369,0.899916,0.13624
0057856,0.418056,0.565971,0.129361
0057857,0.285408,0.419283,0.150293
0057858,0.284717,0.399246,0.143106
0057859,0.284717,0.419021,0.143677
0057860,0.284717,0.45687,0.13893
0057861,0.284717,0.480554,0.151361
0057862,0.284717,0.446962,0.154181
0057863,0.284717,0.417835,0.141775
0057864,0.284717,0.436487,0.161902
0057865,0.284717,0.43433,0.144838
0057866,0.284717,0.414466,0.135533
0057867,0.284717,0.397331,0.157263
0057868,0.284717,0.410998,0.177706
0057869,0.284717,0.415012,0.427149
0057870,0.284717,0.393441,0.200755
0057871,0.284717,0.371778,0.0773428
0057872,0.284717,0.365171,0.123282
0057873,0.284717,0.414521,0.103021
0057874,0.284717,0.426056,0.0972341
0057875,0.284717,0.366329,0.0942493
0057876,0.284717,0.364783,0.120481
0057877,0.00453244,0.160248,0.125023
0057878,0.00453244,0.141839,0.111786
0057879,0.00453244,0.148788,0.136906
